Zone,Division,School,Type,Students,Province,District,School_Type,Location
Kandy,Gangawata Korale,Dharmaraja College,1AB,4895.0,Central Province,Kandy District,National schools,
Kandy,Gangawata Korale,"St. Sylvester's College, Kandy",1AB,3619.0,Central Province,Kandy District,National schools,
Kandy,Gangawata Korale,"Kingswood College, Kandy",1AB,3744.0,Central Province,Kandy District,National schools,
Katugastota,Harispattuwa,"Nugawela Central College, Nugawela",1AB,6500.0,Central Province,Kandy District,National schools,
Kandy,Gangawata Korale,"Vidyartha College, Kandy",1AB,4200.0,Central Province,Kandy District,National schools,
Kandy,Gangawata Korale,"Wariyapola Sri Sumangala College, Kandy",1AB,3500.0,Central Province,Kandy District,National schools,
Kandy,Gangawata Korale,"Sri Rahula College, Kandy",1AB,2362.0,Central Province,Kandy District,National schools,
Kandy,Gangawata Korale,"Girls' High School, Kandy",1AB,5299.0,Central Province,Kandy District,National schools,
Kandy,Gangawata Korale,"Mahamaya Girls' College, Kandy",1AB,4569.0,Central Province,Kandy District,National schools,
Kandy,Gangawata Korale,"Pushpadana Girls' College, Kandy",1AB,2650.0,Central Province,Kandy District,National schools,
Denuwara,Yatinuwara,"Kadugannawa National School, Kadugannawa",1AB,1038.0,Central Province,Kandy District,National schools,
Denuwara,Yatinuwara,"Sri Swarnajothi National School, Kiribathkumbura",1AB,1932.0,Central Province,Kandy District,National schools,
Denuwara,Udunuwara,"D.B Wijethunga National School, Muruthagahamulla",1AB,730.0,Central Province,Kandy District,National schools,
Denuwara,Udunuwara,"Al Manar National School, Handessa",1AB,1174.0,Central Province,Kandy District,National schools,
Gampola,Udapalatha,"Wickramabahu Central College, Gampola",1AB,1582.0,Central Province,Kandy District,National schools,
Gampola,Udapalatha,"Zahira College, Gampola",1AB,2830.0,Central Province,Kandy District,National schools,
Gampola,Ganga Ihala Korale,"Senadhikari Nationaal School, Udahenthenna",1AB,1065.0,Central Province,Kandy District,National schools,
Gampola,Pasbage Korale,"Anuruddha Kumara National School, Nawalapitiya",1AB,907.0,Central Province,Kandy District,National schools,
Katugastota,Thumpane,"Jabbar National College, Galagedara",1AB,578.0,Central Province,Kandy District,National schools,
Katugastota,Thumpane,"Galagedara Central College, Galagedara",1AB,939.0,Central Province,Kandy District,National schools,
Katugastota,Hatharaliyadda,"Hatharaliyadda Central College, Hatharaliyadda",1AB,1098.0,Central Province,Kandy District,National schools,
Katugastota,Poojapitiya,"Poojapitiya Central College, Poojapitiya",1AB,1056.0,Central Province,Kandy District,National schools,
Katugastota,Poojapitiya,"Al Manar National School, Galhinna",1C,742.0,Central Province,Kandy District,National schools,
Katugastota,Akurana,"Alawathugoda Central College, Alawathugoda",1AB,950.0,Central Province,Kandy District,National schools,
Katugastota,Akurana,"Azhar College, Akurana",1AB,1720.0,Central Province,Kandy District,National schools,
Teldeniya,Medadumbara,"Teldeniya National School, Teldeniya",1AB,1817.0,Central Province,Kandy District,National schools,
Teldeniya,Minipe,"Ranasinghe Premadasa National School, Hasalaka",1AB,1054.0,Central Province,Kandy District,National schools,
Wattegama,Kundasale,"Rajawella National School, Digana",1AB,1237.0,Central Province,Kandy District,National schools,
Wattegama,Pathadumbara,"Madina Central College, Medawela Bazaar",1AB,1909.0,Central Province,Kandy District,National schools,
Kandy,Gangawata Korale,"St. Anthony's College, Kandy",1C,2603.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Ranabima Royal College, Peradeniya",1C,1345.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Berrewerts College, Ampitiya",1C,1076.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"St. Anthony's Girls College, Kandy",1C,3770.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Hemamali Girl's College, Kandy",1C,2354.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Swarnamali Girl's College, Kandy",1C,3409.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Seethadevi Girls College, Kandy",1C,2446.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Viharamahadevi Girl's College, Kandy",1C,2613.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Peradeniya Central College, Peradeniya",1C,1012.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Peradeniya Hindu College, Peradeniya",1C,228.0,Central Province,Kandy District,Provincial schools,
Kandy,Patha Hewahata,"Hewahata Central College, Thalathuoya",1C,1485.0,Central Province,Kandy District,Provincial schools,
Kandy,Patha Hewahata,"Enasgolla Central College, Deltota",1C,564.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Badi Uddin Mahmud Girl's College, Kandy",1C,1839.0,Central Province,Kandy District,Provincial schools,
Kandy,Patha Hewahata,"Bopitiya Rajasinghe National School, Marassana",1C,671.0,Central Province,Kandy District,Provincial schools,
Kandy,Patha Hewahata,"Marassana National School, Marassana",1C,608.0,Central Province,Kandy District,Provincial schools,
Kandy,Patha Hewahata,"Sri Ramakrishna Central College, Galaha",1C,1232.0,Central Province,Kandy District,Provincial schools,
Denuwara,Yatinuwara,"Menikdiwela Central College, Menikdiwela",1C,493.0,Central Province,Kandy District,Provincial schools,
Denuwara,Yatinuwara,"Pilimathalawa Central College, Pilimathalawa",1C,1113.0,Central Province,Kandy District,Provincial schools,
Denuwara,Yatinuwara,"Sri Dheerananda Maha Vidyalaya, Pilimathalawa",1C,2466.0,Central Province,Kandy District,Provincial schools,
Denuwara,Udunuwara,"Sri Pragngnananda Central College, Gelioya",1C,1222.0,Central Province,Kandy District,Provincial schools,
Gampola,Udapalatha,"Jinaraja Boy's College, Gampola",1C,1221.0,Central Province,Kandy District,Provincial schools,
Gampola,Udapalatha,"St. Joseph's Balika Maha Vidyalaya, Gampola",1C,2762.0,Central Province,Kandy District,Provincial schools,
Gampola,Udapalatha,"Saraswthi Central College, Pussellawa",1C,950.0,Central Province,Kandy District,Provincial schools,
Gampola,Pasbage Korale,"St Andrew's Girls College, Nawalapitiya",1C,1168.0,Central Province,Kandy District,Provincial schools,
Gampola,Pasbage Korale,"Kathiresan Central College, Nawalapitiya",1C,980.0,Central Province,Kandy District,Provincial schools,
Gampola,Ganga Ihala Korale,"Kurunduwatta Royal College, Kurunduwatta Bazaar",1C,1139.0,Central Province,Kandy District,Provincial schools,
Gampola,Udapalatha,"Wimaladharma National School, Gampola",1C,750.0,Central Province,Kandy District,Provincial schools,
Gampola,Udapalatha,"Hindu National College, Pussellawa",1C,1054.0,Central Province,Kandy District,Provincial schools,
Katugastota,Akurana,"Akurana Muslim Balika Maha Vidyalaya, Akurana",1C,1736.0,Central Province,Kandy District,Provincial schools,
Teldeniya,Medadumbara,"Dunhinna Secondary School, Dunhinna",1C,448.0,Central Province,Kandy District,Provincial schools,
Teldeniya,Ududumbara,"Ududumbara Secondary School, Ududumbara",1C,573.0,Central Province,Kandy District,Provincial schools,
Wattegama,Kundasale,"Walala A. Ratnayaka Central College, Menikhinna",1C,1741.0,Central Province,Kandy District,Provincial schools,
Wattegama,Pathadumbara,"Wattegama Central College, Wattegama",1C,1504.0,Central Province,Kandy District,Provincial schools,
Wattegama,Pathadumbara,"Wattegama Balika Maha Vidyalaya, Wattegama",1C,2150.0,Central Province,Kandy District,Provincial schools,
Wattegama,Pujapitiya,"Nalanda Central College, Pujapitiya",1C,745.0,Central Province,Kandy District,Provincial schools,
Wattegama,Panvila,"Rajasingha Central College, Panvila",1C,434.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,Lumbini Royal College Kandy,1C,586.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Mahanama College, Kandy",1C,1647.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"D.S Senanayaka College, Kandy",1C,1368.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Vidyaloka College, Kandy",1C,318.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Risikala Saundarya Vidyalaya, Kandy",1C,179.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Gothami Girl's College, Kandy",1C,1068.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Sarasvi Uyana Maha Vidyalaya, Peradeniya",1C,2778.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Gurudeniya Maha Vidyalaya, Gurudeniya",1C,877.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Mavilmada Maha Vidyalaya, Mavilmada",1C,118.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Siddhartha Maha Vidyalaya, Ampitiya",1C,431.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Seevali Maha Vidyalaya, Hindagala",1C,587.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Dharmawicrama Girls College, Katukale",1C,998.0,Central Province,Kandy District,Provincial schools,
