Unnamed: 0,Brand,Model,YOM,Engine (cc),Gear,Fuel Type,Millage(KM),Town,Date,Leasing,Condition,AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW,Price
4889,SUZUKI,CELERIO,2014,1000.0,Automatic,Petrol,121000.0,Kiribathgoda,2024-12-15,No Leasing,USED,Available,Available,Available,Available,47.0
3608,NISSAN,WINGROAD Y 12,2007,1500.0,Automatic,Petrol,198000.0,Eheliyagoda,2024-12-19,No Leasing,USED,Available,Available,Not_Available,Available,46.5
6273,SUZUKI,WAGON R STINGRAY,2017,650.0,Automatic,Hybrid,88000.0,Padukka,2025-01-12,No Leasing,USED,Available,Available,Available,Available,68.31290322580645
4110,SUZUKI,ALTO,2015,800.0,Manual,Petrol,110000.0,Gampaha,2025-02-05,No Leasing,USED,Available,Available,Not_Available,Not_Available,33.75
2653,NISSAN,FB12 TRAD SUNNY,1988,1500.0,Manual,Petrol,407000.0,Divulapitiya,2025-02-02,No Leasing,USED,Available,Available,Not_Available,Not_Available,13.9
4484,SUZUKI,ALTO,2007,800.0,Manual,Petrol,198000.0,Kiribathgoda,2024-12-04,No Leasing,USED,Available,Available,Not_Available,Not_Available,23.25
7911,TOYOTA,COROLLA 121,2006,1300.0,Manual,Petrol,209000.0,Gampaha,2024-12-29,No Leasing,USED,Available,Available,Available,Available,52.5
6030,SUZUKI,WAGON R FZ,2018,660.0,Automatic,Petrol,77000.0,Kandy,2025-01-29,No Leasing,USED,Available,Available,Available,Available,65.9
9080,TOYOTA,VIOS,2008,1500.0,Automatic,Petrol,187000.0,Panadura,2025-02-03,No Leasing,USED,Available,Available,Available,Available,49.75
1541,MAZDA,DEMIO,2010,1300.0,Automatic,Petrol,165000.0,Kuliyapitiya,2024-12-15,No Leasing,USED,Available,Available,Available,Available,55.45
3872,PERODUA,VIVA ELITE PREMIUM,2010,1000.0,Automatic,Petrol,165000.0,Piliyandala,2025-02-03,No Leasing,USED,Available,Available,Available,Available,40.25
8674,TOYOTA,PREMIO G SUPERIOR,2014,1490.0,Automatic,Petrol,121000.0,Kadawatha,2025-02-04,No Leasing,USED,Available,Available,Available,Available,134.4875
322,DAIHATSU,MIRA,2016,650.0,Automatic,Petrol,99000.0,Kadawatha,2024-12-23,No Leasing,USED,Available,Available,Available,Available,54.75
2031,MICRO,TREND,2013,1075.0,Manual,Petrol,132000.0,Panadura,2025-02-05,No Leasing,USED,Available,Available,Not_Available,Available,19.95
993,HONDA,GRACE EX,2015,1500.0,Automatic,Hybrid,110000.0,Tangalle,2024-12-28,No Leasing,USED,Available,Available,Available,Available,103.0
1272,HYUNDAI,SONATA,2004,2000.0,Automatic,Petrol,231000.0,Gampaha,2025-02-04,No Leasing,USED,Available,Available,Available,Available,29.5
813,HONDA,FIT GP5,2013,1500.0,Automatic,Hybrid,132000.0,Minuwangoda,2024-12-22,No Leasing,USED,Available,Available,Available,Available,77.125
3139,NISSAN,MARCH K11,2001,1000.0,Automatic,Petrol,264000.0,Kurunegala,2025-02-05,No Leasing,USED,Available,Available,Available,Available,28.3
7212,TOYOTA,AQUA X URBAN,2015,1500.0,Automatic,Hybrid,110000.0,Gampaha,2025-02-05,No Leasing,USED,Available,Available,Available,Available,86.0
9177,TOYOTA,VITZ,2019,1000.0,Automatic,Petrol,66000.0,Kandy,2025-02-04,No Leasing,NEW,Available,Available,Available,Available,93.5
