Unnamed: 0,Brand,Model,YOM,Engine (cc),Gear,Fuel Type,Millage(KM),Town,Date,Leasing,Condition,AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW,Price
2536,NISSAN,BLUEBIRD SU14,2001,1973.0,Manual,Diesel,264000.0,Matara,2025-01-10,No Leasing,USED,Available,Available,Available,Available,27.0
1104,HONDA,N WGN CUSTOM,2018,660.0,Automatic,Petrol,77000.0,Kadawatha,2024-12-24,No Leasing,USED,Available,Available,Available,Available,66.75
3875,PERODUA,VIVA ELITE PREMIUM,2009,1000.0,Automatic,Petrol,176000.0,Kaduwela,2025-01-29,No Leasing,USED,Available,Available,Available,Available,39.5
7166,TOYOTA,AQUA S GRADE,2013,1500.0,Automatic,Hybrid,132000.0,Malabe,2025-02-02,No Leasing,USED,Available,Available,Available,Available,74.75
1752,MERCEDES-BENZ,E300,2014,2000.0,Automatic,Diesel,121000.0,Nittambuwa,2025-01-23,No Leasing,USED,Available,Available,Available,Available,223.0
5310,SUZUKI,MARUTI 800,2004,800.0,Manual,Petrol,231000.0,Matugama,2024-12-23,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,15.5
6647,TOYOTA,110,1997,2000.0,Automatic,Diesel,308000.0,Pannala,2025-01-13,No Leasing,USED,Available,Available,Available,Available,45.0
2916,NISSAN,FB15 EX SALOON,2000,1500.0,Automatic,Petrol,275000.0,Nittambuwa,2025-02-05,No Leasing,USED,Available,Available,Available,Available,37.9
8658,TOYOTA,PREMIO G SUPERIOR,2018,1500.0,Automatic,Petrol,77000.0,Matara,2025-02-04,No Leasing,USED,Available,Available,Available,Available,178.5
152,BMW,LUXURY LINE,2017,1500.0,Automatic,Petrol,88000.0,Colombo,2024-12-20,No Leasing,USED,Available,Available,Available,Available,225.0
7329,TOYOTA,AXIO,2017,1500.0,Automatic,Petrol,88000.0,Nittambuwa,2025-01-23,No Leasing,USED,Available,Available,Available,Available,144.0
3907,PEUGEOT,406,1998,1900.0,Manual,Diesel,297000.0,Dehiwala-Mount-Lavinia,2025-01-22,No Leasing,USED,Available,Not_Available,Not_Available,Available,25.0
8940,TOYOTA,SPRINTER,1997,1500.0,Manual,Diesel,308000.0,Polonnaruwa,2025-01-13,No Leasing,USED,Available,Available,Available,Available,22.8
2552,NISSAN,BLUEBIRD SYLPHY G11,2010,1500.0,Automatic,Petrol,165000.0,Kandy,2025-01-23,No Leasing,USED,Available,Available,Available,Available,67.5
2773,NISSAN,FB14,1994,1450.0,Manual,Petrol,341000.0,Hanwella,2024-12-08,Ongoing Lease,USED,Available,Available,Not_Available,Available,22.15
5815,SUZUKI,WAGON R,2018,650.0,Automatic,Petrol,77000.0,Polonnaruwa,2025-01-24,No Leasing,USED,Available,Available,Available,Available,69.56041666666667
3551,NISSAN,TRAD SUNNY,1988,1500.0,Manual,Petrol,407000.0,Minuwangoda,2025-01-26,No Leasing,USED,Available,Available,Available,Available,14.4
3722,PERODUA,VIVA ELITE,2007,660.0,Automatic,Petrol,198000.0,Colombo,2025-02-02,No Leasing,USED,Available,Available,Available,Available,35.5
6338,SUZUKI,WAGON R STINGRAY,2014,660.0,Automatic,Hybrid,121000.0,Kandy,2025-01-02,No Leasing,USED,Available,Available,Available,Available,55.25
520,HONDA,CIVIC EK3,1998,1500.0,Automatic,Petrol,297000.0,Kaduwela,2024-12-30,No Leasing,USED,Available,Available,Available,Available,37.9
7656,TOYOTA,CARINA,1991,1500.0,Manual,Petrol,374000.0,Galle,2025-01-27,No Leasing,USED,Available,Available,Available,Available,20.5
4538,SUZUKI,ALTO 800,2015,800.0,Manual,Petrol,110000.0,Tangalle,2024-12-24,No Leasing,USED,Available,Available,Not_Available,Available,33.25
6465,SUZUKI,WAGON R STINGRAY J STYLE,2014,660.0,Automatic,Hybrid,121000.0,Colombo,2024-12-28,No Leasing,USED,Available,Available,Available,Available,56.69444444444444
