Unnamed: 0,Brand,Model,YOM,Engine (cc),Gear,Fuel Type,Millage(KM),Town,Date,Leasing,Condition,AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW,Price
1320,ISUZU,GEMINI,1992,1533.0,Manual,Diesel,363000.0,Kurunegala,2025-01-25,No Leasing,NEW,Available,Available,Available,Available,11.5
41,AUDI,A5,2014,2000.0,Automatic,Petrol,121000.0,Colombo,2024-12-13,No Leasing,USED,Available,Available,Available,Available,220.0
3885,PERODUA,VIVA ELITE PREMIUM,2011,1000.0,Automatic,Petrol,154000.0,Horana,2024-12-07,No Leasing,USED,Available,Available,Available,Not_Available,43.25
8757,TOYOTA,PREMIO G SUPERIOR,2020,1500.0,Automatic,Petrol,55000.0,Gampaha,2024-12-06,No Leasing,USED,Available,Available,Available,Available,189.5
3281,NISSAN,N16 SUPER SALOON,2004,1300.0,Manual,Petrol,231000.0,Kottawa,2024-12-10,No Leasing,USED,Available,Available,Available,Available,36.9375
1729,MERCEDES-BENZ,E200,2010,1800.0,Automatic,Petrol,165000.0,Kadawatha,2025-01-24,No Leasing,USED,Available,Available,Available,Available,152.5
2698,NISSAN,FB13 DOCTOR SUNNY,1991,1700.0,Manual,Diesel,374000.0,Anuradapura,2025-01-15,No Leasing,USED,Available,Available,Not_Available,Not_Available,16.75
3936,PEUGEOT,605,1993,2000.0,Manual,Petrol,352000.0,Gampaha,2025-01-19,No Leasing,USED,Available,Available,Available,Available,4.75
3529,NISSAN,TIIDA,2004,1490.0,Automatic,Petrol,231000.0,Pannipitiya,2024-12-29,No Leasing,USED,Available,Available,Available,Available,45.25
5566,SUZUKI,SWIFT,2008,1300.0,Manual,Petrol,187000.0,Kandy,2025-01-03,No Leasing,USED,Available,Available,Available,Available,19.90625
6300,SUZUKI,WAGON R STINGRAY,2018,680.0,Automatic,Petrol,77000.0,Gampaha,2025-01-28,No Leasing,USED,Available,Available,Available,Available,71.3560974390244
2818,NISSAN,FB15,2002,1500.0,Automatic,Petrol,253000.0,Kurunegala,2025-01-31,No Leasing,USED,Available,Available,Available,Available,41.5
1491,MAZDA,AXELA,2002,1490.0,Automatic,Petrol,253000.0,Kandy,2024-12-31,No Leasing,USED,Available,Available,Available,Available,55.0
7220,TOYOTA,AQUA X URBAN,2015,1500.0,Automatic,Hybrid,110000.0,Kegalle,2025-01-06,No Leasing,USED,Available,Available,Available,Available,92.0
5351,SUZUKI,MARUTI ZEN,1996,1000.0,Manual,Petrol,319000.0,Avissawella,2024-12-05,No Leasing,USED,Available,Not_Available,Available,Not_Available,13.75
61,AUSTIN,MINI COOPER,1969,1300.0,Manual,Petrol,616000.0,Gampaha,2025-01-18,No Leasing,USED,Available,Available,Not_Available,Not_Available,20.5
4205,SUZUKI,ALTO,2015,800.0,Manual,Petrol,110000.0,Matugama,2025-01-18,No Leasing,USED,Available,Available,Not_Available,Available,32.5
6512,SUZUKI,ZEN ESTILO,2011,1000.0,Manual,Petrol,154000.0,Kadawatha,2025-01-14,No Leasing,USED,Available,Available,Available,Available,33.5
