Unnamed: 0,Brand,Model,YOM,Engine (cc),Gear,Fuel Type,Millage(KM),Town,Date,Leasing,Condition,AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW,Price
1026,HONDA,INSIGHT,2009,1350.0,Automatic,Hybrid,176000.0,Ratnapura,2025-02-02,Ongoing Lease,USED,Available,Available,Available,Available,81.0
3848,PERODUA,VIVA ELITE,2011,1000.0,Automatic,Petrol,154000.0,Homagama,2024-12-20,No Leasing,USED,Available,Available,Available,Available,45.0
2989,NISSAN,HB12,1989,1500.0,Manual,Petrol,396000.0,Kandy,2025-02-01,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,11.0
961,HONDA,GRACE,2015,1500.0,Automatic,Hybrid,110000.0,Dehiwala-Mount-Lavinia,2024-12-18,No Leasing,USED,Available,Available,Available,Available,96.5
2889,NISSAN,FB15,2003,1500.0,Automatic,Petrol,242000.0,Kuliyapitiya,2024-12-20,No Leasing,USED,Available,Available,Available,Available,37.95
7117,TOYOTA,AQUA G GRADE,2012,1500.0,Automatic,Hybrid,143000.0,Colombo,2025-01-18,No Leasing,USED,Available,Available,Available,Available,73.5
7790,TOYOTA,COROLLA,1984,1300.0,Manual,Petrol,451000.0,Kiribathgoda,2025-02-01,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,10.5
3015,NISSAN,K10,1985,980.0,Manual,Petrol,440000.0,Gampaha,2025-02-04,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,7.0
7010,TOYOTA,AQUA,2013,1500.0,Automatic,Hybrid,132000.0,Kadawatha,2025-01-04,No Leasing,USED,Available,Available,Available,Available,74.75
3338,NISSAN,PULSAR,1982,1000.0,Manual,Petrol,473000.0,Malabe,2025-02-05,No Leasing,USED,Available,Available,Available,Not_Available,8.25
6105,SUZUKI,WAGON R FZ SAFETY,2018,660.0,Automatic,Hybrid,77000.0,Kelaniya,2025-02-04,No Leasing,USED,Available,Available,Available,Available,64.9
6245,SUZUKI,WAGON R STINGRAY,2018,658.0,Automatic,Petrol,77000.0,Vavuniya,2025-01-29,No Leasing,USED,Available,Available,Available,Not_Available,70.0
8370,TOYOTA,IST,2004,1500.0,Automatic,Petrol,231000.0,Balangoda,2025-01-27,No Leasing,USED,Available,Available,Available,Available,54.2
6434,SUZUKI,WAGON R STINGRAY,2018,660.0,Automatic,Petrol,77000.0,Anuradapura,2024-12-08,No Leasing,USED,Available,Available,Available,Available,73.9
8413,TOYOTA,KE72 DX WAGON,1987,1300.0,Manual,Petrol,418000.0,Colombo,2025-01-09,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,12.9
735,HONDA,FIT GP4 RS,2012,1500.0,Automatic,Hybrid,143000.0,Gampaha,2025-01-06,No Leasing,USED,Available,Available,Available,Available,77.5
4400,SUZUKI,ALTO,2004,650.0,Automatic,Petrol,231000.0,Galle,2024-12-21,No Leasing,USED,Available,Available,Not_Available,Available,33.75
1440,KIA,SEPHIA,2002,1500.0,Manual,Petrol,253000.0,Kurunegala,2025-02-04,Ongoing Lease,USED,Available,Available,Available,Available,8.5
9540,TOYOTA,VITZ JEWELA,2016,1000.0,Automatic,Petrol,99000.0,Kadawatha,2025-01-05,No Leasing,USED,Available,Available,Available,Available,75.5
9335,TOYOTA,VITZ,2017,1000.0,Automatic,Petrol,88000.0,Divulapitiya,2025-01-25,No Leasing,USED,Available,Available,Available,Available,84.1
2875,NISSAN,FB15,1999,1500.0,Automatic,Petrol,286000.0,Kadawatha,2024-12-29,No Leasing,USED,Available,Available,Available,Available,35.0
3986,RENAULT,KWID,2016,800.0,Manual,Petrol,99000.0,Matara,2025-01-13,No Leasing,USED,Available,Available,Available,Available,31.25
916,HONDA,FIT SHUTTLE GP2,2013,1366.0,Automatic,Petrol,132000.0,Ambalangoda,2025-01-30,No Leasing,USED,Available,Available,Available,Available,91.0
8904,TOYOTA,PRIUS S TOURING,2011,1790.0,Automatic,Hybrid,154000.0,Colombo,2025-01-31,No Leasing,USED,Available,Available,Available,Available,91.825
8597,TOYOTA,PREMIO,2013,1500.0,Automatic,Petrol,132000.0,Kegalle,2024-12-28,No Leasing,USED,Available,Available,Available,Available,127.5
4089,SUZUKI,A-STAR,2012,1000.0,Automatic,Petrol,143000.0,Malabe,2024-12-23,No Leasing,USED,Available,Available,Not_Available,Available,42.8
9382,TOYOTA,VITZ,2007,1300.0,Automatic,Petrol,198000.0,Ragama,2025-01-01,No Leasing,USED,Available,Available,Available,Available,56.75
7232,TOYOTA,AT150,1987,1500.0,Manual,Petrol,418000.0,Gampaha,2024-12-20,No Leasing,USED,Not_Available,Available,Not_Available,Not_Available,10.25
3726,PERODUA,VIVA ELITE,2011,1000.0,Manual,Petrol,154000.0,Ratnapura,2025-02-02,No Leasing,USED,Available,Available,Available,Available,39.95
2772,NISSAN,FB14,1997,1500.0,Automatic,Petrol,308000.0,Kurunegala,2024-12-11,No Leasing,USED,Available,Available,Not_Available,Not_Available,27.75
1624,MAZDA,MR 90,1992,1400.0,Manual,Petrol,363000.0,Dehiwala-Mount-Lavinia,2025-02-04,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,8.35
454,HONDA,CITY,2000,1500.0,Automatic,Petrol,275000.0,Kaduwela,2025-02-01,No Leasing,USED,Available,Available,Available,Available,31.9
821,HONDA,FIT GP5,2014,1500.0,Automatic,Petrol,121000.0,Gampaha,2024-12-17,No Leasing,USED,Available,Available,Available,Available,81.55384615384615
1367,KIA,PICANTO,2017,1000.0,Automatic,Petrol,88000.0,Nugegoda,2025-02-02,No Leasing,USED,Available,Available,Available,Available,61.5
3712,PERODUA,VIVA ELITE,2010,1000.0,Automatic,Petrol,165000.0,Embilipitiya,2025-02-04,No Leasing,USED,Available,Available,Available,Available,34.75
9643,TOYOTA,VITZ SAFETY EDITION 2,2018,1000.0,Automatic,Petrol,77000.0,Galle,2025-01-26,No Leasing,USED,Available,Available,Available,Available,88.0
1388,KIA,PICANTO,2016,1000.0,Manual,Petrol,99000.0,Colombo,2024-12-17,No Leasing,USED,Available,Available,Not_Available,Available,48.5
850,HONDA,FIT GP5 L GRADE,2015,1500.0,Automatic,Hybrid,110000.0,Polgahawela,2024-12-31,No Leasing,USED,Available,Available,Available,Available,84.75
7447,TOYOTA,AXIO G GRADE,2008,1500.0,Automatic,Petrol,187000.0,Panadura,2025-01-18,No Leasing,USED,Available,Available,Available,Available,79.5
1000,HONDA,GRACE EX GRADE,2015,1500.0,Automatic,Hybrid,110000.0,Nugegoda,2025-01-28,No Leasing,USED,Available,Available,Available,Available,110.95
8409,TOYOTA,KE72,1984,1500.0,Manual,Petrol,451000.0,Nugegoda,2024-12-26,Ongoing Lease,USED,Available,Not_Available,Not_Available,Not_Available,9.7
7762,TOYOTA,CE110,1997,2000.0,Automatic,Diesel,308000.0,Bandarawela,2025-01-04,No Leasing,USED,Available,Available,Available,Available,27.75
3553,NISSAN,TRAD SUNNY,1989,1500.0,Manual,Diesel,396000.0,Chilaw,2025-01-22,No Leasing,USED,Available,Available,Not_Available,Not_Available,14.25
7622,TOYOTA,CAMRY,1991,1990.0,Manual,Petrol,374000.0,Ja-Ela,2024-12-06,No Leasing,USED,Available,Available,Available,Available,18.0
4114,SUZUKI,ALTO,2015,800.0,Manual,Petrol,110000.0,Colombo,2025-02-05,No Leasing,USED,Available,Available,Not_Available,Available,34.75
1637,MAZDA,RX-8 SERIES 2,2008,1300.0,Automatic,Petrol,187000.0,Katunayake,2024-12-29,No Leasing,USED,Available,Available,Available,Available,70.0
1667,MERCEDES-BENZ,C180 BLUEEFFICIENCY,2011,1600.0,Automatic,Petrol,154000.0,Colombo,2024-12-12,No Leasing,USED,Available,Available,Available,Available,138.0
4589,SUZUKI,ALTO JAPAN,2008,660.0,Automatic,Petrol,187000.0,Homagama,2025-02-04,No Leasing,USED,Available,Available,Available,Available,32.9
3173,NISSAN,MARCH K11,2001,1000.0,Automatic,Petrol,264000.0,Piliyandala,2025-01-21,No Leasing,USED,Available,Available,Available,Available,28.75
