Unnamed: 0,Brand,Model,YOM,Engine (cc),Gear,Fuel Type,Millage(KM),Town,Date,Leasing,Condition,AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW,Price
2241,MITSUBISHI,LANCER C12,1985,1400.0,Manual,Petrol,440000.0,Colombo,2024-12-04,No Leasing,USED,Not_Available,Available,Not_Available,Not_Available,7.5
9502,TOYOTA,VITZ,2019,1000.0,Automatic,Petrol,66000.0,Negombo,2024-12-05,No Leasing,USED,Available,Available,Available,Available,97.75
7430,TOYOTA,AXIO G GRADE,2007,1500.0,Automatic,Petrol,198000.0,Kalutara,2025-02-05,No Leasing,USED,Available,Available,Available,Available,75.9
256,DAEWOO,RACER,1995,1500.0,Manual,Petrol,330000.0,Chilaw,2025-01-23,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,9.25
6730,TOYOTA,ALLION,2011,1500.0,Automatic,Petrol,154000.0,Horana,2025-01-11,No Leasing,USED,Available,Available,Available,Available,106.0
200,CHERY,QQ 308,2007,800.0,Manual,Petrol,198000.0,Badulla,2025-01-16,No Leasing,USED,Available,Available,Available,Available,13.0
2235,MITSUBISHI,LANCER BOX 5FWD,1982,1400.0,Manual,Petrol,473000.0,Kottawa,2024-12-06,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,8.9
4743,SUZUKI,ALTO K10,2011,1000.0,Manual,Petrol,154000.0,Kandy,2024-12-17,No Leasing,USED,Available,Available,Not_Available,Available,28.5
1767,MERCEDES-BENZ,E350E AMG PREMIUM,2017,2000.0,Automatic,Hybrid,88000.0,Malabe,2024-12-21,No Leasing,USED,Available,Available,Available,Available,322.0
4236,SUZUKI,ALTO,2015,800.0,Manual,Petrol,110000.0,Polonnaruwa,2025-01-11,No Leasing,USED,Available,Available,Available,Not_Available,33.02984496124031
7483,TOYOTA,AXIO WXB,2017,1500.0,Automatic,Hybrid,88000.0,Katunayake,2025-02-01,No Leasing,USED,Available,Available,Available,Available,139.0
8266,TOYOTA,CORSA HATCH BACK,1987,1300.0,Manual,Petrol,418000.0,Kalutara,2025-01-21,No Leasing,USED,Available,Available,Not_Available,Not_Available,15.25
6831,TOYOTA,ALLION 260,2010,1500.0,Automatic,Petrol,165000.0,Anuradapura,2025-02-05,No Leasing,USED,Available,Available,Available,Available,103.15555555555557
1572,MAZDA,FAMILIA,2000,1500.0,Automatic,Petrol,275000.0,Gampaha,2025-01-23,No Leasing,USED,Available,Available,Not_Available,Available,19.75
24,AUDI,A4,2011,2000.0,Automatic,Petrol,154000.0,Colombo,2025-01-18,Ongoing Lease,USED,Available,Available,Available,Available,125.0
3363,NISSAN,PULSAR,1994,1500.0,Manual,Petrol,341000.0,Polonnaruwa,2024-12-17,No Leasing,USED,Available,Available,Available,Available,19.5
1088,HONDA,N BOX CUSTOM,2016,650.0,Automatic,Petrol,99000.0,Ja-Ela,2024-12-29,No Leasing,USED,Available,Available,Available,Available,64.5
4674,SUZUKI,ALTO JAPAN,2018,1000.0,Automatic,Petrol,77000.0,Colombo,2024-12-26,Ongoing Lease,USED,Available,Available,Available,Available,53.05625
2694,NISSAN,FB13 DOCTOR SUNNY,1996,1500.0,Manual,Diesel,319000.0,Wennappuwa,2025-02-04,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,19.671875
7225,TOYOTA,AQUA X URBAN,2015,1500.0,Automatic,Hybrid,110000.0,Negombo,2024-12-16,No Leasing,USED,Available,Available,Available,Available,89.27272727272727
3398,NISSAN,SB14,1996,1970.0,Automatic,Diesel,319000.0,Kandy,2025-02-04,No Leasing,USED,Available,Available,Available,Available,22.2
3559,NISSAN,TRAD SUNNY,1988,1300.0,Manual,Petrol,407000.0,Matale,2024-12-24,No Leasing,USED,Not_Available,Available,Not_Available,Not_Available,10.387500000000005
8960,TOYOTA,STARLET,1998,1330.0,Automatic,Petrol,297000.0,Balangoda,2025-02-03,No Leasing,USED,Available,Available,Available,Available,38.25
2841,NISSAN,FB15,1999,1500.0,Automatic,Petrol,286000.0,Gampaha,2025-01-08,No Leasing,USED,Available,Available,Available,Available,35.0
2311,MITSUBISHI,LANCER EX EVO X,2008,1500.0,Automatic,Petrol,187000.0,Kalutara,2025-01-23,No Leasing,USED,Available,Available,Available,Available,86.75
8106,TOYOTA,COROLLA DX WAGON,1987,1300.0,Manual,Petrol,418000.0,Kurunegala,2025-02-05,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,13.5
3234,NISSAN,N16,2001,1500.0,Automatic,Petrol,264000.0,Kilinochchi,2025-01-23,No Leasing,USED,Available,Available,Available,Available,37.5
4152,SUZUKI,ALTO,2015,800.0,Manual,Petrol,110000.0,Harispattuwa,2025-02-03,No Leasing,USED,Available,Available,Not_Available,Available,33.75
1309,ISUZU,GEMINI,1991,1500.0,Manual,Diesel,374000.0,Pannala,2025-02-03,No Leasing,USED,Not_Available,Available,Available,Not_Available,10.5
