Unnamed: 0,Brand,Model,YOM,Engine (cc),Gear,Fuel Type,Millage(KM),Town,Date,Leasing,Condition,AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW,Price
9598,TOYOTA,VITZ KSP90,2005,1000.0,Automatic,Petrol,220000.0,Ampara,2024-12-26,No Leasing,USED,Available,Available,Available,Available,55.0
7135,TOYOTA,AQUA G GRADE,2013,1499.0,Automatic,Petrol,132000.0,Homagama,2024-12-24,No Leasing,USED,Available,Available,Available,Available,78.75
4708,SUZUKI,ALTO K10,2011,1000.0,Manual,Petrol,154000.0,Ratnapura,2025-02-01,No Leasing,USED,Available,Available,Not_Available,Available,27.8
6202,SUZUKI,WAGON R STINGRAY,2018,660.0,Automatic,Hybrid,77000.0,Nugegoda,2025-02-03,No Leasing,USED,Available,Available,Available,Available,75.9
8861,TOYOTA,PRIUS,2013,1800.0,Automatic,Hybrid,132000.0,Wennappuwa,2024-12-05,No Leasing,USED,Available,Available,Available,Available,97.0
4867,SUZUKI,CELERIO,2015,996.0,Manual,Petrol,110000.0,Kaduwela,2025-01-21,No Leasing,USED,Available,Available,Not_Available,Available,40.0
39,AUDI,A4 S LINE,2010,1800.0,Automatic,Petrol,165000.0,Galle,2025-01-10,No Leasing,USED,Available,Available,Available,Available,102.0
7103,TOYOTA,AQUA G GRADE,2013,1500.0,Automatic,Hybrid,132000.0,Gampaha,2025-02-04,No Leasing,USED,Available,Available,Available,Available,75.61153846153846
7216,TOYOTA,AQUA X URBAN,2015,1500.0,Automatic,Hybrid,110000.0,Colombo,2025-02-01,No Leasing,USED,Available,Available,Available,Available,86.0
4702,SUZUKI,ALTO K10,2015,1000.0,Manual,Petrol,110000.0,Matale,2025-02-03,No Leasing,USED,Available,Available,Not_Available,Available,38.61363636363636
7871,TOYOTA,COROLLA 114,1998,1970.0,Manual,Diesel,297000.0,Kegalle,2024-12-28,No Leasing,USED,Available,Available,Available,Available,27.25
2922,NISSAN,FB15 EX SALOON,1999,1500.0,Automatic,Petrol,286000.0,Gampola,2025-01-15,No Leasing,USED,Available,Available,Available,Available,33.5
1084,HONDA,N BOX CUSTOM,2016,660.0,Automatic,Petrol,99000.0,Colombo,2025-01-18,No Leasing,USED,Available,Available,Available,Available,60.0
7297,TOYOTA,AXIO,2016,1500.0,Automatic,Hybrid,99000.0,Battaramulla,2025-01-17,No Leasing,USED,Available,Available,Available,Available,120.0
4965,SUZUKI,ESTILO,2010,1000.0,Manual,Petrol,165000.0,Kadawatha,2025-01-29,No Leasing,USED,Available,Available,Available,Available,32.95
5719,SUZUKI,SX4 SEDEN,2010,1490.0,Automatic,Petrol,165000.0,Malabe,2025-02-05,No Leasing,USED,Available,Available,Not_Available,Available,57.9
3127,NISSAN,MARCH AK12,2002,1300.0,Automatic,Petrol,253000.0,Galle,2024-12-18,No Leasing,USED,Available,Available,Available,Available,32.5
2519,NISSAN,BLUEBIRD,1987,1800.0,Manual,Diesel,418000.0,Nittambuwa,2024-12-21,No Leasing,USED,Available,Available,Not_Available,Not_Available,8.9
9337,TOYOTA,VITZ,2007,1000.0,Automatic,Petrol,198000.0,Colombo,2025-01-24,No Leasing,USED,Available,Available,Available,Available,56.75
8327,TOYOTA,EE 102 WAGON,1997,1330.0,Manual,Petrol,308000.0,Anuradapura,2024-12-28,No Leasing,USED,Available,Available,Not_Available,Not_Available,22.75
6053,SUZUKI,WAGON R FZ,2017,650.0,Automatic,Hybrid,88000.0,Matara,2025-01-06,No Leasing,USED,Available,Available,Available,Available,62.75
1220,HYUNDAI,EON,2016,800.0,Manual,Petrol,99000.0,Dompe,2025-01-28,No Leasing,USED,Available,Available,Not_Available,Available,27.303571428571438
5417,SUZUKI,SPACIA CUSTOM,2017,650.0,Automatic,Petrol,88000.0,Colombo,2025-02-05,No Leasing,USED,Available,Available,Available,Available,68.95
3016,NISSAN,K10,1990,1000.0,Manual,Petrol,385000.0,Katunayake,2025-02-04,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,8.5
2697,NISSAN,FB13 DOCTOR SUNNY,1992,1500.0,Manual,Petrol,363000.0,Colombo,2025-01-28,Ongoing Lease,USED,Available,Available,Available,Not_Available,17.525
5581,SUZUKI,SWIFT,2004,1300.0,Automatic,Petrol,231000.0,Anuradapura,2024-12-26,No Leasing,USED,Available,Available,Not_Available,Available,40.5
96,BMW,320D,2000,2000.0,Manual,Diesel,275000.0,Kelaniya,2025-01-27,No Leasing,USED,Available,Available,Available,Available,54.5
3312,NISSAN,NOTE E-POWER,2017,1200.0,Automatic,Hybrid,88000.0,Battaramulla,2025-01-20,No Leasing,USED,Available,Available,Available,Available,87.0
9006,TOYOTA,STARLET EP82,1997,1330.0,Manual,Petrol,308000.0,Kuliyapitiya,2025-01-21,No Leasing,USED,Available,Available,Not_Available,Not_Available,29.5
5065,SUZUKI,MARUTI,2010,800.0,Manual,Petrol,165000.0,Badulla,2025-02-02,No Leasing,USED,Available,Available,Available,Available,19.7
5359,SUZUKI,SPACIA,2015,650.0,Automatic,Petrol,110000.0,Malabe,2025-02-05,No Leasing,USED,Available,Available,Not_Available,Available,58.01666666666667
2107,MITSUBISHI,EK WAGON,2016,660.0,Automatic,Petrol,99000.0,Kandy,2025-02-02,No Leasing,USED,Available,Available,Available,Available,56.75
6173,SUZUKI,WAGON R STINGRAY,2018,660.0,Automatic,Hybrid,77000.0,Mahiyanganaya,2025-02-05,No Leasing,USED,Available,Available,Available,Available,71.3560974390244
7293,TOYOTA,AXIO,2008,1500.0,Automatic,Petrol,187000.0,Matale,2025-01-28,No Leasing,USED,Available,Available,Available,Available,73.75
6618,TATA,NANO,2017,1234.0,Automatic,Petrol,88000.0,Colombo,2024-12-06,No Leasing,USED,Available,Available,Available,Available,20.68
8144,TOYOTA,COROLLA ELEPHANT BACK WAGON,1996,1300.0,Automatic,Petrol,319000.0,Negombo,2025-02-01,No Leasing,USED,Available,Available,Available,Available,26.0
7379,TOYOTA,AXIO,2008,1500.0,Automatic,Petrol,187000.0,Kegalle,2024-12-15,No Leasing,USED,Available,Available,Available,Available,72.5
9041,TOYOTA,STARLET NP90 REFLET F,1997,1500.0,Automatic,Diesel,308000.0,Ganemulla,2025-02-04,No Leasing,USED,Available,Available,Available,Not_Available,36.5
5911,SUZUKI,WAGON R,2017,1500.0,Automatic,Petrol,88000.0,Colombo,2024-12-10,Ongoing Lease,USED,Available,Available,Available,Available,37.4375
311,DAIHATSU,MIRA,2004,660.0,Automatic,Petrol,231000.0,Negombo,2025-01-25,No Leasing,USED,Available,Available,Available,Available,40.6875
2835,NISSAN,FB15,1999,1500.0,Manual,Petrol,286000.0,Kalutara,2025-01-12,No Leasing,USED,Available,Available,Available,Available,32.9
6956,TOYOTA,AQUA,2014,1490.0,Automatic,Hybrid,121000.0,Kalutara,2025-02-01,Ongoing Lease,USED,Available,Available,Available,Available,76.98434782608696
1145,HYUNDAI,ACCENT,2001,1500.0,Manual,Petrol,264000.0,Matale,2025-01-05,Ongoing Lease,USED,Available,Available,Available,Available,26.5
2388,NISSAN,AD WAGON,1996,1300.0,Manual,Petrol,319000.0,Kurunegala,2025-01-27,No Leasing,USED,Available,Available,Not_Available,Not_Available,22.0
9611,TOYOTA,VITZ SAFETY,2018,1000.0,Automatic,Petrol,77000.0,Marawila,2025-02-05,No Leasing,USED,Available,Available,Available,Available,95.0
7848,TOYOTA,COROLLA 110,1996,1970.0,Automatic,Diesel,319000.0,Pannipitiya,2025-01-20,No Leasing,USED,Available,Available,Available,Available,29.95000727272727
4759,SUZUKI,ALTO L GRADE,2019,650.0,Automatic,Petrol,66000.0,Dehiwala-Mount-Lavinia,2025-01-29,No Leasing,USED,Available,Available,Not_Available,Available,58.5
