iter	RMSE
0	42.26173273
1	41.2563062
2	40.29426059
3	39.36578496
4	38.48679733
5	37.63157468
6	36.80678988
7	36.03653432
8	35.2427267
9	34.45745139
10	33.71945936
11	33.00703614
12	32.32890802
13	31.69943448
14	31.06637316
15	30.43668246
16	29.83448856
17	29.22326256
18	28.64789995
19	28.08770908
20	27.55524842
21	27.01914388
22	26.51823751
23	26.02102833
24	25.53987635
25	25.07233442
26	24.63204406
27	24.21253876
28	23.79920995
29	23.40512525
30	23.00220228
31	22.62792052
32	22.26284465
33	21.91968395
34	21.58359294
35	21.22367367
36	20.91532411
37	20.61147479
38	20.29968558
39	20.03094973
40	19.73624977
41	19.4351961
42	19.18633032
43	18.91346715
44	18.66507717
45	18.40415237
46	18.18247991
47	17.94668731
48	17.73761609
49	17.53767106
50	17.330544
51	17.10266849
52	16.9002636
53	16.71129016
54	16.5160418
55	16.34063651
56	16.14561662
57	15.96773422
58	15.79805702
59	15.65720793
60	15.51305265
61	15.36451338
62	15.23078377
63	15.09205232
64	14.97150234
65	14.8241579
66	14.70663232
67	14.57736842
68	14.46606284
69	14.34041699
70	14.210419
71	14.08765476
72	13.99108995
73	13.88881193
74	13.78195647
75	13.69669063
76	13.59651666
77	13.51035046
78	13.41687426
79	13.31404852
80	13.20971827
81	13.11987305
82	13.04817976
83	12.98732397
84	12.9089176
85	12.81124545
86	12.71845811
87	12.63979212
88	12.56924373
89	12.50277297
90	12.42663006
91	12.35821661
92	12.28770601
93	12.24132062
94	12.16935107
95	12.12163888
96	12.04956799
97	11.99047983
98	11.91890052
99	11.86545913
100	11.81169289
101	11.77102046
102	11.7141711
103	11.67050207
104	11.62403881
105	11.56870368
106	11.52229322
107	11.48401689
108	11.43629487
109	11.38856889
110	11.32893467
111	11.28377277
112	11.24254065
113	11.20141355
114	11.15763399
115	11.11730328
116	11.0647791
117	11.01971855
118	10.97696391
119	10.92756931
120	10.89734176
121	10.85770429
122	10.82302695
123	10.78818903
124	10.7583844
125	10.72093615
126	10.68614616
127	10.65852297
128	10.63870946
129	10.60687416
130	10.57985376
131	10.54826865
132	10.5168102
133	10.49240353
134	10.46891051
135	10.44852033
136	10.41026473
137	10.37926375
138	10.35793634
139	10.33015987
140	10.3004551
141	10.27668949
142	10.25401488
143	10.22987113
144	10.20844649
145	10.18342284
146	10.16609225
147	10.14746716
148	10.1305151
149	10.10220661
150	10.08021268
151	10.05217699
152	10.03351185
153	10.01065272
154	9.995597945
155	9.974282629
156	9.957633105
157	9.944599461
158	9.921839853
159	9.896445632
160	9.879658288
161	9.869735613
162	9.850102661
163	9.83352416
164	9.811719804
165	9.795342379
166	9.77872456
167	9.754373131
168	9.741567195
169	9.7303105
170	9.717758617
171	9.701632909
172	9.687455875
173	9.673896534
174	9.655964638
175	9.644280373
176	9.628917512
177	9.614476888
178	9.594868233
179	9.581090077
180	9.570688712
181	9.557014157
182	9.549443665
183	9.535369137
184	9.525972138
185	9.510171242
186	9.495415767
187	9.481708805
188	9.467803215
189	9.457411787
190	9.444297642
191	9.433131133
192	9.429627648
193	9.417429692
194	9.409265174
195	9.396658269
196	9.385605694
197	9.372839018
198	9.363771069
199	9.350568116
200	9.33518683
201	9.328536607
202	9.316227062
203	9.301448809
204	9.291660967
205	9.283901021
206	9.276290964
207	9.269674441
208	9.260649832
209	9.248956809
210	9.232759003
211	9.22267392
212	9.209739622
213	9.196941118
214	9.186708798
215	9.173507945
216	9.166434314
217	9.157024267
218	9.150402158
219	9.139215679
220	9.130297391
221	9.123480034
222	9.115033151
223	9.109533439
224	9.093966283
225	9.08948598
226	9.080309441
227	9.071815334
228	9.059502658
229	9.051983351
230	9.04493398
231	9.038971551
232	9.030967084
233	9.021825661
234	9.008184691
235	8.998897263
236	8.99229375
237	8.984310322
238	8.977172372
239	8.970112755
240	8.961927542
241	8.956986638
242	8.950387223
243	8.942168094
244	8.936033909
245	8.925554368
246	8.913734526
247	8.908239827
248	8.905318488
249	8.894597122
250	8.886931411
251	8.876913495
252	8.870244555
253	8.860075378
254	8.851741998
255	8.839218427
256	8.833617101
257	8.826154738
258	8.816871655
259	8.81198771
260	8.807473708
261	8.801136693
262	8.791873684
263	8.785324044
264	8.780053895
265	8.774056604
266	8.769227065
267	8.765202103
268	8.759610304
269	8.749760197
270	8.741025849
271	8.734606976
272	8.726524063
273	8.719034378
274	8.711558116
275	8.70454591
276	8.695640347
277	8.685430578
278	8.67877757
279	8.674053339
280	8.66832851
281	8.65946706
282	8.650295128
283	8.639596841
284	8.633962176
285	8.626860817
286	8.618822218
287	8.609213178
288	8.599925897
289	8.594647091
290	8.587136785
291	8.582087763
292	8.576109636
293	8.571155787
294	8.559929128
295	8.553949632
296	8.548342411
297	8.542379579
298	8.538993337
299	8.528728247
300	8.520191586
301	8.508243734
302	8.506207702
303	8.499261782
304	8.494276532
305	8.488583592
306	8.481861535
307	8.477018991
308	8.470768419
309	8.459797311
310	8.453376865
311	8.450817855
312	8.440974157
313	8.436735425
314	8.427873033
315	8.416144779
316	8.410933575
317	8.405785073
318	8.401682262
319	8.391484199
320	8.38828104
321	8.380824292
322	8.378819898
323	8.376050697
324	8.373490738
325	8.365796956
326	8.361348906
327	8.355230908
328	8.350596013
329	8.343677992
330	8.34057871
331	8.331394131
332	8.32647282
333	8.317144126
334	8.309096584
335	8.304808114
336	8.299553171
337	8.293238042
338	8.290079697
339	8.286518552
340	8.282330023
341	8.275244798
342	8.269515341
343	8.262812788
344	8.257861371
345	8.254471173
346	8.253040473
347	8.244590009
348	8.235002966
349	8.231875592
350	8.226444382
351	8.223682018
352	8.219254735
353	8.213575902
354	8.208862131
355	8.201409918
356	8.195753191
357	8.188698565
358	8.18234191
359	8.176811147
360	8.170224875
361	8.166594795
362	8.161732532
363	8.157067938
364	8.154835036
365	8.148714792
366	8.145265377
367	8.141855138
368	8.132664971
369	8.129339727
370	8.12431127
371	8.122642802
372	8.118177046
373	8.1102737
374	8.102374672
375	8.094686249
376	8.091333635
377	8.088674665
378	8.084049232
379	8.078106789
380	8.072783361
381	8.070443941
382	8.067865195
383	8.061843336
384	8.060403383
385	8.054101123
386	8.047907253
387	8.040473223
388	8.033951856
389	8.02958022
390	8.02534464
391	8.021318129
392	8.01641312
393	8.008908807
394	7.998202685
395	7.994981488
396	7.989724044
397	7.982829607
398	7.975936164
399	7.972528859
400	7.966931342
401	7.96011726
402	7.951269744
403	7.947249945
404	7.94004157
405	7.937434791
406	7.933405687
407	7.930470497
408	7.924035252
409	7.918033122
410	7.913173487
411	7.909510057
412	7.904360314
413	7.902037833
414	7.897710356
415	7.893933683
416	7.892022208
417	7.889288852
418	7.885826175
419	7.884354816
420	7.879642679
421	7.873875124
422	7.871172809
423	7.867994916
424	7.864904906
425	7.86260892
426	7.85996842
427	7.859466196
428	7.858002734
429	7.853082542
430	7.849620563
431	7.847031186
432	7.845123783
433	7.839723217
434	7.838035029
435	7.833662001
436	7.830208718
437	7.82863115
438	7.827928565
439	7.823652784
440	7.819630769
441	7.817110725
442	7.814680584
443	7.809910768
444	7.807793359
445	7.804049523
446	7.800762505
447	7.797803591
448	7.793383044
449	7.788569232
450	7.785980643
451	7.783731656
452	7.780468765
453	7.779201985
454	7.77503278
455	7.772389957
456	7.769222143
457	7.766264691
458	7.764253919
459	7.760106599
460	7.756657333
461	7.753820612
462	7.748731468
463	7.74443865
464	7.740180045
465	7.736548501
466	7.732317008
467	7.730067277
468	7.72598724
469	7.72218265
470	7.718732114
471	7.716333161
472	7.712968943
473	7.707716192
474	7.706180131
475	7.703524782
476	7.69846816
477	7.694343687
478	7.690400607
479	7.686023865
480	7.683205874
481	7.680630819
482	7.675705096
483	7.672259427
484	7.668773083
485	7.66105886
486	7.657396354
487	7.6521818
488	7.650404695
489	7.646899868
490	7.645179052
491	7.642425121
492	7.640770124
493	7.637513254
494	7.633780818
495	7.629343643
496	7.627647188
497	7.624968801
498	7.622210365
499	7.620315097
500	7.618494992
501	7.61569296
502	7.613262568
503	7.611373203
504	7.607217105
505	7.604289109
506	7.602987046
507	7.600326502
508	7.599197446
509	7.596640407
510	7.594037754
511	7.591483192
512	7.587397365
513	7.584593534
514	7.581984187
515	7.577907465
516	7.571852287
517	7.566020662
518	7.56332953
519	7.558802393
520	7.552378464
521	7.54925513
522	7.54404405
523	7.542030929
524	7.539773582
525	7.535633323
526	7.53289549
527	7.529291923
528	7.525545631
529	7.523073969
530	7.522298657
531	7.518802768
532	7.515780307
533	7.510680677
534	7.506919252
535	7.505217275
536	7.501717815
537	7.49645072
538	7.493193617
539	7.489614997
540	7.48735785
541	7.485184253
542	7.479879678
543	7.475300967
544	7.474023255
545	7.468970605
546	7.466641059
547	7.463063691
548	7.457445898
549	7.455928765
550	7.451907734
551	7.448123953
552	7.446039543
553	7.44301938
554	7.438533117
555	7.435187534
556	7.432922723
557	7.431310952
558	7.427853546
559	7.425257949
560	7.422158222
561	7.420872311
562	7.417498219
563	7.414720344
564	7.413016669
565	7.410452142
566	7.406390125
567	7.402798065
568	7.400950084
