iter	Passed	Remaining
0	24	24078
1	54	27240
2	84	27970
3	114	28486
4	141	28090
5	170	28250
6	200	28376
7	232	28789
8	262	28897
9	290	28787
10	319	28761
11	350	28892
12	379	28783
13	406	28598
14	434	28523
15	462	28441
16	489	28289
17	518	28274
18	548	28333
19	580	28436
20	611	28485
21	640	28470
22	669	28454
23	699	28451
24	729	28431
25	759	28446
26	787	28363
27	815	28302
28	843	28249
29	870	28161
30	899	28113
31	927	28063
32	954	27982
33	984	27967
34	1013	27940
35	1041	27884
36	1070	27849
37	1100	27865
38	1129	27833
39	1160	27853
40	1189	27831
41	1219	27821
42	1248	27778
43	1297	28181
44	1330	28230
45	1358	28176
46	1386	28114
47	1414	28057
48	1443	28006
49	1470	27937
50	1499	27910
51	1534	27982
52	1570	28068
53	1607	28165
54	1648	28317
55	1679	28310
56	1713	28342
57	1751	28446
58	1785	28485
59	1820	28521
60	1854	28549
61	1887	28555
62	1920	28557
63	1955	28601
64	1986	28568
65	2017	28546
66	2049	28537
67	2088	28620
68	2126	28686
69	2161	28714
70	2197	28757
71	2226	28701
72	2255	28639
73	2284	28590
74	2314	28543
75	2341	28462
76	2372	28441
77	2403	28407
78	2434	28386
79	2461	28305
80	2490	28252
81	2520	28217
82	2550	28174
83	2579	28128
84	2610	28102
85	2638	28046
86	2667	27988
87	2697	27952
88	2722	27867
89	2750	27813
90	2779	27765
91	2809	27728
92	2837	27677
93	2866	27627
94	2895	27581
95	2948	27763
96	2992	27854
97	3027	27867
98	3065	27901
99	3135	28220
100	3170	28224
101	3206	28229
102	3285	28612
103	3345	28826
104	3380	28816
105	3416	28812
106	3448	28776
107	3481	28754
108	3513	28722
109	3546	28694
110	3580	28675
111	3613	28648
112	3636	28544
113	3666	28497
114	3702	28490
115	3733	28453
116	3773	28480
117	3814	28514
118	3846	28474
119	3875	28423
120	3889	28255
121	3929	28281
122	3965	28274
123	4003	28280
124	4041	28291
125	4092	28389
126	4137	28442
127	4168	28399
128	4196	28335
129	4227	28290
130	4254	28222
131	4282	28159
132	4308	28086
133	4323	27942
134	4355	27907
135	4367	27744
136	4412	27797
137	4442	27748
138	4478	27742
139	4523	27786
140	4576	27880
141	4624	27945
142	4677	28034
143	4722	28070
144	4759	28064
145	4792	28034
146	4822	27980
147	4836	27840
148	4867	27797
149	4896	27748
150	4918	27656
151	4948	27608
152	4975	27545
153	5004	27490
154	5034	27448
155	5064	27397
156	5091	27337
157	5132	27351
158	5168	27336
159	5258	27609
160	5312	27685
161	5354	27698
162	5388	27670
163	5403	27542
164	5413	27396
165	5441	27337
166	5470	27284
167	5481	27145
168	5508	27088
169	5535	27027
170	5563	26973
171	5589	26906
172	5616	26849
173	5644	26797
174	5674	26753
175	5704	26708
176	5734	26664
177	5762	26609
178	5793	26573
179	5824	26533
180	5852	26483
181	5872	26396
182	5903	26355
183	5931	26306
184	5959	26255
185	5989	26213
186	6017	26161
187	6046	26114
188	6073	26062
189	6107	26038
190	6147	26038
191	6190	26050
192	6228	26041
193	6267	26037
194	6304	26027
195	6317	25914
196	6348	25877
197	6377	25832
198	6407	25792
199	6437	25749
200	6447	25629
201	6474	25577
202	6503	25534
203	6535	25499
204	6563	25453
205	6592	25410
206	6607	25312
207	6637	25275
208	6673	25258
209	6716	25266
210	6730	25168
211	6768	25159
212	6804	25140
213	6831	25092
214	6864	25065
215	6899	25040
216	6923	24980
217	6954	24945
218	6969	24853
219	6997	24808
220	7015	24729
221	7043	24684
222	7071	24639
223	7103	24607
